68	61	57	51
59	61	48	49
53	54	38	56
63	56	37	56
49	58	37	53
60	59	39	50
54	57	42	47
56	58	43	44
54	60	43	43
54	60	43	43
58	51	48	52
58	58	40	53
60	53	62	37
62	54	59	39
55	66	48	45
51	53	47	47
49	57	58	42
53	59	52	49
57	55	49	44
60	57	49	45
65	57	50	39
57	68	49	42
50	54	45	48
57	60	55	47
56	62	63	54
55	54	60	54
55	54	60	54
49	51	48	48
54	52	53	55
51	62	48	53
51	54	46	53
60	57	53	47
54	49	51	52
58	52	51	59
50	47	57	48
50	53	63	51
53	58	63	57
49	61	55	60
56	57	54	48
55	51	60	58
54	55	45	53
61	54	44	54
61	57	49	48
55	63	51	47
59	61	47	49
51	55	51	54
57	58	53	51
55	58	61	60
50	57	65	50
52	51	66	47
66	56	54	51
52	54	51	51
50	54	60	50
48	54	60	53
51	53	46	54
55	53	46	54
47	51	50	45
47	50	57	45
57	50	65	47
64	50	59	48
54	58	60	50
57	54	51	67
54	51	50	63
49	57	59	54
49	52	61	58
46	53	58	53
45	53	53	57
56	57	59	51
51	49	56	52
53	49	57	49
54	51	64	55
48	60	56	53
47	60	53	49
51	54	53	57
52	55	60	51
55	61	66	59
59	68	57	54
53	49	57	57
57	53	55	54
50	49	57	62
48	52	60	54
46	58	64	50
54	61	61	52
54	62	57	50
55	53	50	52
52	61	50	52
47	56	58	57
45	48	59	57
51	40	53	49
51	53	62	57
44	50	51	49
49	46	52	49
58	66	59	54
53	64	59	56
46	53	53	59
43	50	57	53
47	48	57	51
47	48	54	55
54	45	49	59
49	43	53	52
51	49	57	57
44	37	69	69
42	40	64	69
45	43	63	54
43	43	65	48
46	40	58	59
46	38	58	64
48	41	57	64
48	41	57	64
49	44	57	65
49	41	59	57
45	47	53	57
54	41	56	55
43	39	60	52
49	48	65	57
52	48	58	57
45	44	55	52
53	45	57	61
